"body_hash","body","predicted_label","reasoning","confidence","few_shot_examples_used","model","error"
"66ece2dbe4bf19bf","I wish we'd stop with the exaggeration though. The majority of residents are not working 80 hours per week. Nothing worse than trying to fix problems by being disingenuous about them. Reminds me of how the initial people talking about climate change lied about it and it hurt the cause so much for years and years.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"fd301a0b14f1e80a","China and India are not going to stop producing carbon emissions. What's your plan? How are you going to convince developing nations stop their economies from growing in order to help climate change? Do you realize that nearly half of Americans don't even believe it's real? It's clear that you think that our current means are enough to stop this problem. I admire your idealism. But humans don't work that way. They want smart, innovative people to make it easier to do the right thing. It's also really sad that you're chiding me when we're on the same team. You can't condescend people into joining the cause. Judgment will only make people even more entrenched into their ideas. I mean, you and I are on the same side of the climate change debate. I can only imagine how much harsher you are to people who don't even believe it exists. The solution to climate change will also necessitate social engineering to an extent. It will require being kind to people who don't agree with you.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"6dc2ac595173aa69","Looking for solutions in increasing technological innovation and more growth is just going to perpetuate the problem. The problems are systemic. We can't just put technological band-aids over the drivers of these stresses. Peter Victor is someone doing this kind of work. If you want actual solutions I would suggest his work, return to integrated local economies, climate appropriate buildings and appropriate technology not high technology. [Additionally the current state of our cities means that they have a superlinear metabolism (ie. they have a higher than exponential growth rate in terms of material and energy flows) with 50% of all people living in cities that effectively means that 50% of the world population is unsustainable on a basic level]([URL] Radically changing cities is a huge project and one unlikely to be completed in the window of the 'oscillating plateau'. What happens to cities when their metabolic energy flows are reduced at a rate of 1%-6% per year?","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"38ac11de1fca3831","""Peaceful and propserous"" Are your aware of like any of the current events regarding russia / climate change?","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"359f370dbd2826c5","The emissions on transport versus diet are of course going to be vastly different in Europe than in other parts of the world. Much of Europe is capable of supporting agriculture and efficient railways fed by nuclear energy provide for minimal carbon impact during transport. The reason I explicitly stated free range or wild hunted animals is because they eat plants that humans wouldn't be capable of eating. At the very least not as part of a balanced diet. I fully support a reduction in meat consumption and efforts to plant more trees. No idea where you got the idea that I think it's a negative. I was simply pointing out the reality that planting trees alone won't fix the issues we currently face. Wildfires are just one of the reasons that it isn't a viable long term solution. Methane production from factory farm animals is the result of the diet they are fed and is absolutely one of the things that should be regulated. The idea that we currently grow enough food for everyone to survive also simply isn't accurate. It doesn't account for the millions of people who can't live off a soy based diet or the multitude of health conditions that would be incompatible with a vegan diet. I never made the claim a single thing would fix climate change. I would agree reducing meat consumption and regulating the industry would absolutely help. Eliminating meat would lead to far more problems than it would solve.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"f986258b5d611c1a","Elon Musk can be quite a jerk sometimes but he generally spends his money on tech that helps the world (while also making him more money). And usually the tech is meant to help the world on the large scale rather than helping people directly like what charities are doing. Major threat to humanity in the short-term: Climate change. Major technology necessary to fight climate change that was still in its infancy in the early 2000s: Electric cars. Problem: EVs are seen as uncool and only ecohippies want them. Solution: Make cool EVs that are desirable even for people who don't care about the environment. Therefore, Tesla. Also makes a ton of money being a trillion dollar company. How likely is it for humanity to survive long-term (tens of thousands of years)? Major global disasters are possible and even likely, a humanity that is spread out across the stars is less likely to be destroyed by one big disaster than a humanity that is on one planet only. What's needed to settle on other planets? Much, much better rockets. Therefore, SpaceX. Also makes a ton of money launching satellites for customers with their somewhat better rockets while they're developing the much better rockets. Internet is super important and not available for a lot of people (and their much better rockets need something to do to be profitable while they develop the much, much better rockets) and internet from space is financially viable with their much better rockets, therefore Starlink. Also makes a ton of money selling internet services, and comes in super useful in emergencies like natural disasters and wars.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"5be0df679877b070","Why research? Lobbying is the biggest motivator of real action when it comes to climate change.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"d45b546067cb9a79","What about Climate Change Idontgiveafuck-ers? Because I just. don't. give. a. fuck.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"a007b19db9fcafe1","Woolly mammoths to help combat climate change look it up it's awesome","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"c4a399beb2eec885","The concept of a 1 in 100 or 1 in 10000 year storm assumes the climate isn't changing. Unless you can also predict the next 10000 years of climate change, this becomes a meaningless term.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"67ed59596a8f0512","pretty sure the line including > evil, racist, slave-owning, climate-change hating is just BanAllShitlibs' attempt at mocking their opponent, rather than something they're saying themselves. I'd say they're pretty well for the electoral college. Needlessly inflammatory and insulting, wrong imo about their argument, and probably should re-evaluate what it is they're actually trying to accomplish by posting stuff in that way -- but at least self-consistent in liking the electoral college.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"37482c107a2402e6","The one climate skeptic I know on facebook is actually a highly educated and mathematically and philosophically literate Catholic who considers himself unqualified to fully assess the evidence for and against climate change, and thinks most people who are convinced one way or another have an undue confidence in evidence they understand less than they would care to admit. ","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"2977f7a2c9681222","-combat climate change -improving roads This won't get contradictory","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"c4ad7758701df27a","But they're poop is really important for eucalyptus trees and eucalyptus trees are some of the best for fighting climate change","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"6d2ae587702d0467","i'm not, but i'm clearly speaking to that age group because this needs to happen, and your generation clearly has given up on doing anything significant for the next (other than ruining the earths climate). the youth may have a shot to affect real change.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"7e6d7eec25628d8e","Damn that's wild... we really do deserve climate change.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"50be8ff790add9ef",">Which won't happen It's happening right now. I'm doing it and feel absolutely fine, and I am a terrible cook. >Humans are naturally predators, we eat meat and have done for 3 million years. What's more important: preventing climate change and destruction of the natural world, or eating meat?","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"fd1f10913ce50d26","There are almost 200 countries in the world. Most of them have multiple political parties. There is only one organized group of people in the world that deny global climate change and they are the Republican Party of the United States. They've done an incredible job pretending like they are the other side of an argument that isn't even taking place anywhere but in America. It's all a cover for big energy. Greed is good. ","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"97afb10fe02d902a","That's not really how climate change works. It should be more variable, with colder winters and hotter summers. It shouldn't moderate","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"8ce4f099d47bf939","You should stop trying to sway public opinion against climate change.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
"47ac490826a759bd","Just out of curiosity...what exactly would disprove the anthropogenic global cooling global warming global cooling global warming climate change hypothesis? Scientifically, that is how it works after all - you make a hypothesis and then attempt to disprove it - but all I ever seem to read is postulation that every observation reinforces the sought conclusion and therefore the debate is over.","Not climate opinion","dry-run: keyword heuristic only (set OPENAI_API_KEY for real LLM)","0.35","Climate action critique; Climate apathy; Climate denial; Climate denial critique; Climate information; Climate nihilism; Climate nihilism critique; Climate optimism; Not climate opinion; climate activism; climate anxiety; climate change importance; climate opinion critique; climate policy critique","dry-run",""
